"SPECIES: common name","Edible frog"
"SPECIES: Latin  name","Rana esculenta"
"RETINAL CELL TYPE NAME: as published","alpha-a RGC"
"OTHER MOSAICS in same sampling field","alpha-ab, alpha-c"
"PRIMARY CITATION for these mosaics","Shamim, Scalia, Tóth, Cook (1997) Vis Neurosci 14: 1109-1127"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","left retina, inner band (streak)"
"NUMBER OF CELLS",186
"AREA OF SAMPLED FIELD (sq mm)",30.99
"TOTAL RETINAL AREA (sq mm)",73.5
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","subset of M_370 with highest density"
"X","Y"
 7145 , 16237 
 6591 , 16007 
 7347 , 15877 
 7148 , 15840 
 6645 , 15775 
 6393 , 15768 
 6508 , 15602 
 7461 , 15368 
 6386 , 15364 
 6822 , 15269 
 6778 , 15166 
 7560 , 15075 
 6612 , 14938 
 6253 , 14932 
 7426 , 14904 
 7052 , 14656 
 4972 , 14579 
 6523 , 14578 
 5314 , 14521 
 6221 , 14489 
 7369 , 14478 
 4787 , 14345 
 4410 , 14345 
 6863 , 14311 
 6615 , 14291 
 5916 , 14280 
 7216 , 14210 
 5012 , 14145 
 7502 , 14072 
 5705 , 13855 
 6680 , 13653 
 6383 , 13470 
 6038 , 13351 
 9513 , 13299 
 7033 , 13218 
 5058 , 13143 
 9426 , 13105 
 6573 , 13084 
 8933 , 13076 
 8416 , 13061 
 6053 , 13004 
 8739 , 12933 
 5529 , 12819 
 9157 , 12760 
 5985 , 12735 
 8256 , 12686 
 6828 , 12671 
 9390 , 12576 
 5797 , 12561 
 8614 , 12542 
 8363 , 12448 
 9548 , 12424 
 5390 , 12414 
 8756 , 12302 
 5767 , 12296 
 6447 , 12289 
 7994 , 12211 
 6753 , 12170 
 8199 , 12157 
 8442 , 12049 
 9259 , 12000 
 5234 , 11987 
 8862 , 11942 
 8268 , 11911 
 5825 , 11891 
 6330 , 11809 
 9232 , 11807 
 8650 , 11752 
 7690 , 11732 
 9519 , 11725 
 7971 , 11702 
 9267 , 11696 
 8284 , 11632 
 6580 , 11627 
 5675 , 11613 
 8577 , 11611 
 6898 , 11608 
 6189 , 11604 
 9519 , 11532 
 7217 , 11515 
 9159 , 11370 
 6464 , 11368 
 7629 , 11361 
 8367 , 11324 
 9502 , 11235 
 8189 , 11207 
 7776 , 11207 
 7103 , 11137 
 8897 , 11101 
 7517 , 11055 
 9120 , 10988 
 6600 , 10986 
 7970 , 10962 
 7081 , 10938 
 7447 , 10892 
 6006 , 10846 
 9586 , 10840 
 5646 , 10839 
 6955 , 10708 
 9668 , 10685 
 9414 , 10677 
 9209 , 10525 
 7032 , 10482 
 6664 , 10475 
 6135 , 10401 
 7207 , 10219 
 5867 , 10172 
 6991 , 10125 
 6155 , 9963 
 6533 , 9889 
 9772 , 9551 
 9474 , 9534 
 9735 , 9200 
 8729 , 8904 
 9609 , 8895 
 9412 , 8800 
 8369 , 8711 
 9177 , 8699 
 9481 , 8527 
 8914 , 8475 
 9332 , 8401 
 6739 , 8324 
 9211 , 8233 
 5795 , 8189 
 6762 , 8072 
 6360 , 8056 
 5968 , 8015 
 9209 , 7950 
 7558 , 7861 
 6643 , 7785 
 7237 , 7737 
 5914 , 7630 
 9313 , 7598 
 9522 , 7575 
 5648 , 7570 
 7408 , 7524 
 7777 , 7386 
 7490 , 7297 
 7763 , 7116 
 5836 , 7089 
 6398 , 7086 
 7338 , 7075 
 8189 , 7014 
 6636 , 6970 
 5453 , 6950 
 7055 , 6889 
 7612 , 6857 
 5362 , 6770 
 8288 , 6752 
 6157 , 6703 
 8432 , 6663 
 6348 , 6616 
 7336 , 6561 
 7178 , 6454 
 8567 , 6415 
 5895 , 6386 
 6565 , 6373 
 5300 , 6246 
 6991 , 6231 
 7697 , 6230 
 7302 , 6210 
 5644 , 6175 
 8832 , 6131 
 6499 , 6044 
 8518 , 6035 
 7217 , 6029 
 5907 , 6024 
 7683 , 6005 
 7503 , 6000 
 5039 , 5904 
 7699 , 5846 
 6323 , 5810 
 7237 , 5793 
 5674 , 5761 
 6685 , 5667 
 6896 , 5665 
 5220 , 5464 
 7074 , 5304 
 7472 , 5273 
 4785 , 5251 
 6730 , 5208 
 5120 , 5191 
 6515 , 5126 
 6571 , 4823 
 4797 , 4661 
 4582 , 4312 
